trial	xdat	lat	fstCorrect	ErrCorr	AS	Count	Desc
1	132	228	TRUE	FALSE	AS	1	
2	133	255	TRUE	FALSE	AS	1	
3	132	172	TRUE	FALSE	AS	1	
4	133	290	TRUE	FALSE	AS	1	
5	133	90	FALSE	TRUE	AS	2	
6	132	172	TRUE	FALSE	AS	1	
7	133	223	TRUE	FALSE	AS	1	
8	133	152	FALSE	TRUE	AS	2	
9	133	194	TRUE	FALSE	AS	1	
10	133	196	TRUE	FALSE	AS	1	
11	132	NA	FALSE	FALSE	AS	-1	moving (8.708 px/60Hz) before target onset
12	132	NA	FALSE	FALSE	AS	-1	average fixpos(221.312500) is off from baseline(130.500000)!
13	133	NA	FALSE	FALSE	AS	-1	average fixpos(241.487500) is off from baseline(130.500000)!
14	133	186	FALSE	TRUE	AS	2	
15	132	NA	FALSE	FALSE	AS	-1	average fixpos(19.862500) is off from baseline(130.500000)!
16	132	216	TRUE	FALSE	AS	1	
17	133	NA	FALSE	FALSE	AS	-1	average fixpos(226.425000) is off from baseline(130.500000)!
18	133	245	TRUE	FALSE	AS	1	
19	133	NA	FALSE	FALSE	AS	-1	average fixpos(46.500000) is off from baseline(130.500000)!
20	133	NA	FALSE	FALSE	AS	-1	average fixpos(29.387500) is off from baseline(130.500000)!
21	133	NA	FALSE	FALSE	AS	-1	average fixpos(28.325000) is off from baseline(130.500000)!
22	133	258	TRUE	FALSE	AS	1	
23	133	504	TRUE	FALSE	AS	1	
24	132	344	TRUE	FALSE	AS	1	
25	133	235	TRUE	FALSE	AS	1	
26	132	206	TRUE	FALSE	AS	1	
27	132	NA	FALSE	FALSE	AS	-1	start pos too far from center fix
28	132	125	FALSE	TRUE	AS	2	
29	132	181	TRUE	FALSE	AS	1	
30	132	132	TRUE	FALSE	AS	1	
31	133	159	FALSE	TRUE	AS	2	
32	133	250	TRUE	FALSE	AS	1	
33	133	NA	FALSE	FALSE	AS	-1	average fixpos(72.462500) is off from baseline(130.500000)!
34	132	NA	FALSE	FALSE	AS	-1	average fixpos(44.275000) is off from baseline(130.500000)!
35	133	245	TRUE	FALSE	AS	1	
36	132	154	TRUE	FALSE	AS	1	
37	132	231	TRUE	FALSE	AS	1	
38	132	204	TRUE	FALSE	AS	1	
39	133	NA	FALSE	FALSE	AS	-1	moving (30.927 px/60Hz) before target onset
40	133	233	TRUE	FALSE	AS	1	
41	132	NA	FALSE	FALSE	AS	-1	average fixpos(54.312500) is off from baseline(130.500000)!
42	132	250	TRUE	FALSE	AS	1	
43	132	199	TRUE	FALSE	AS	1	
44	133	243	TRUE	FALSE	AS	1	
45	133	NA	FALSE	FALSE	AS	-1	moving (11.593 px/60Hz) before target onset
46	132	184	TRUE	FALSE	AS	1	
47	133	199	TRUE	FALSE	AS	1	
48	132	179	TRUE	FALSE	AS	1	
49	132	NA	FALSE	FALSE	AS	-1	1st good sac too soon
50	132	368	TRUE	FALSE	AS	1	
51	133	115	FALSE	TRUE	AS	2	
52	133	258	TRUE	FALSE	AS	1	
53	132	NA	FALSE	FALSE	AS	-1	moving (12.525 px/60Hz) before target onset
54	133	234	TRUE	FALSE	AS	1	
55	132	194	TRUE	FALSE	AS	1	
56	132	NA	FALSE	FALSE	AS	-1	moving (14.319 px/60Hz) before target onset
57	132	226	TRUE	FALSE	AS	1	
58	133	228	TRUE	FALSE	AS	1	
59	132	262	FALSE	TRUE	AS	2	
60	132	208	TRUE	FALSE	AS	1	
61	133	235	TRUE	FALSE	AS	1	
62	132	231	TRUE	FALSE	AS	1	
63	132	NA	FALSE	FALSE	AS	-1	moving (13.180 px/60Hz) before target onset
64	132	226	TRUE	FALSE	AS	1	
65	132	250	TRUE	FALSE	AS	1	
66	133	245	TRUE	FALSE	AS	1	
67	132	243	TRUE	FALSE	AS	1	
68	133	243	TRUE	FALSE	AS	1	
69	132	221	TRUE	FALSE	AS	1	
70	133	285	TRUE	FALSE	AS	1	
71	133	125	FALSE	TRUE	AS	2	
72	132	262	TRUE	FALSE	AS	1	
73	132	NA	FALSE	FALSE	AS	-1	moving (13.835 px/60Hz) before target onset
74	133	240	TRUE	FALSE	AS	1	
75	132	206	TRUE	FALSE	AS	1	
76	132	NA	FALSE	FALSE	AS	-1	moving (12.389 px/60Hz) before target onset
77	132	196	TRUE	FALSE	AS	1	
78	132	196	TRUE	FALSE	AS	1	
79	132	162	TRUE	FALSE	AS	1	
80	133	NA	FALSE	FALSE	AS	-1	moving (4.973 px/60Hz) before target onset
81	132	299	TRUE	FALSE	AS	1	
82	132	267	TRUE	FALSE	AS	1	
83	132	361	TRUE	FALSE	AS	1	
84	132	326	TRUE	FALSE	AS	1	
85	133	NA	FALSE	FALSE	AS	-1	average fixpos(203.037500) is off from baseline(130.500000)!
86	132	248	TRUE	FALSE	AS	1	
87	133	243	TRUE	FALSE	AS	1	
88	133	272	TRUE	FALSE	AS	1	
89	132	NA	FALSE	FALSE	AS	-1	moving (19.046 px/60Hz) before target onset
90	132	260	TRUE	FALSE	AS	1	
91	132	238	TRUE	FALSE	AS	1	
92	133	228	TRUE	FALSE	AS	1	
93	133	287	TRUE	FALSE	AS	1	
94	132	228	TRUE	FALSE	AS	1	
95	132	299	TRUE	FALSE	AS	1	
96	133	130	FALSE	TRUE	AS	2	
97	133	144	FALSE	TRUE	AS	2	
98	132	312	TRUE	FALSE	AS	1	
99	132	238	TRUE	FALSE	AS	1	
100	133	314	TRUE	FALSE	AS	1	
