"trial","xdat","lat","fstCorrect","ErrCorr","AS","Count","Desc","id","respuesta","estimulo"
1,132,228,TRUE,FALSE,"AS",1,"",10564,"correct","food"
2,133,255,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
3,132,172,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
4,133,290,TRUE,FALSE,"AS",1,"",10564,"correct","food"
5,133,90,FALSE,TRUE,"AS",2,"",10564,"incorrect","neutral"
6,132,172,TRUE,FALSE,"AS",1,"",10564,"correct","food"
7,133,223,TRUE,FALSE,"AS",1,"",10564,"correct","food"
8,133,152,FALSE,TRUE,"AS",2,"",10564,"incorrect","food"
9,133,194,TRUE,FALSE,"AS",1,"",10564,"correct","food"
10,133,196,TRUE,FALSE,"AS",1,"",10564,"correct","food"
11,132,NA,FALSE,FALSE,"AS",-1,"moving (8.708 px/60Hz) before target onset",10564,"drop","food"
12,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(221.312500) is off from baseline(130.500000)!",10564,"drop","food"
13,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(241.487500) is off from baseline(130.500000)!",10564,"drop","neutral"
14,133,186,FALSE,TRUE,"AS",2,"",10564,"incorrect","food"
15,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(19.862500) is off from baseline(130.500000)!",10564,"drop","food"
16,132,216,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
17,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(226.425000) is off from baseline(130.500000)!",10564,"drop","neutral"
18,133,245,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
19,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(46.500000) is off from baseline(130.500000)!",10564,"drop","food"
20,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(29.387500) is off from baseline(130.500000)!",10564,"drop","neutral"
21,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(28.325000) is off from baseline(130.500000)!",10564,"drop","food"
22,133,258,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
23,133,504,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
24,132,344,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
25,133,235,TRUE,FALSE,"AS",1,"",10564,"correct","food"
26,132,206,TRUE,FALSE,"AS",1,"",10564,"correct","food"
27,132,NA,FALSE,FALSE,"AS",-1,"start pos too far from center fix",10564,"drop","food"
28,132,125,FALSE,TRUE,"AS",2,"",10564,"incorrect","food"
29,132,181,TRUE,FALSE,"AS",1,"",10564,"correct","food"
30,132,132,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
31,133,159,FALSE,TRUE,"AS",2,"",10564,"incorrect","food"
32,133,250,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
